NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
697,대영포장,1428,하락25,-1.72%,500,1548,108395,0.84,44619,12.00,7.69
698,일동홀딩스,13360,하락290,-2.12%,1000,1542,11540,2.63,15334,-1.51,-314.25
699,KBSTAR iSelect메타버스,7220,하락90,-1.23%,0,1539,21320,0.04,11766,N/A,N/A
700,삼영화학,4495,상승315,+7.54%,500,1528,34000,3.00,3149217,56.90,5.37
701,신원,1498,하락8,-0.53%,500,1537,102586,2.03,56984,8.10,8.10
702,성안,2515,하락130,-4.91%,500,1537,61095,3.80,794322,-49.31,-9.33
703,KODEX 23-12 국고채액티브,10200,0,0.00%,0,1534,15040,0.01,20902,N/A,N/A
704,삼양통상,51000,상승500,+0.99%,5000,1530,3000,3.70,703,10.13,3.67
705,동성제약,5860,하락30,-0.51%,1000,1530,26101,4.66,2326,-72.35,-4.75
706,HDC현대EP,4790,하락15,-0.31%,500,1528,31900,5.35,13143,13.27,3.79
707,벽산,2225,하락10,-0.45%,500,1525,68560,4.29,15254,15.34,4.22
708,센트랄모텍,17700,하락560,-3.07%,500,1524,8610,1.06,44337,135.11,1.12
709,신일전자,2145,상승15,+0.70%,500,1524,71048,4.71,266158,143.00,1.27
710,효성ITX,13160,하락20,-0.15%,500,1521,11558,0.85,4298,10.96,17.65
711,KODEX 차이나항셍테크,6015,하락10,-0.17%,0,1519,25250,1.25,19760,N/A,N/A
712,컨버즈,4100,0,0.00%,500,1509,36810,0.09,0,-13.18,-81.16
713,다이나믹디자인,10640,하락1580,-12.93%,500,1502,14120,0.00,3997118,-1.10,-143.17
714,대창,1647,하락75,-4.36%,500,1501,91140,1.84,2347259,40.17,1.51
715,샘표,51800,상승100,+0.19%,1000,1490,2876,4.42,1598,14.27,5.35
716,종근당바이오,27100,하락350,-1.28%,2500,1487,5486,1.78,4397,-8.90,-10.80
717,용평리조트,3080,하락40,-1.28%,5000,1482,48133,1.28,5092,-12.22,-3.17
718,태영건설,3805,상승5,+0.13%,500,1480,38899,8.00,45494,2.43,8.54
719,한컴라이프케어,5310,상승90,+1.72%,200,1470,27674,0.72,31536,15.95,7.54
720,인지컨트롤스,9280,하락280,-2.93%,500,1467,15809,3.82,34183,10.23,7.27
721,동남합성,41900,0,0.00%,500,1466,3500,0.02,47,14.24,22.06
722,수산중공업,2715,하락5,-0.18%,500,1466,53985,1.84,33248,9.30,12.09
723,사조동아원,1029,하락1,-0.10%,500,1452,141145,2.29,162550,147.00,0.47
724,성창기업지주,2040,상승15,+0.74%,500,1423,69752,2.82,20437,-10.79,-2.33
725,삼성 인버스 2X 코스닥150 선물 ETN,9480,상승270,+2.93%,0,1422,15000,0.01,1097061,N/A,N/A
726,KODEX 배당가치,12355,하락40,-0.32%,0,1421,11500,0.01,943,N/A,N/A
727,광명전기,3270,상승375,+12.95%,500,1417,43338,1.60,22459859,26.37,4.91
728,TIGER 미국MSCI리츠(합성 H),12000,상승85,+0.71%,0,1410,11750,0.00,840,N/A,N/A
729,NH올원리츠,3340,하락5,-0.15%,500,1409,42200,1.64,5501,36.70,1.94
730,TIGER 24-04 회사채(A+이상)액티브,50250,상승30,+0.06%,0,1406,2798,0.00,7582,N/A,N/A
731,신한 인버스0.5X S&P500 VIX S/T선물 ETN,23285,0,0.00%,0,1397,6000,0.00,0,N/A,N/A
732,TIGER 투자등급회사채액티브,103545,하락70,-0.07%,0,1395,1347,0.00,11,N/A,N/A
733,미원화학,63000,0,0.00%,1000,1386,2199,4.62,1,8.52,12.87
734,한국석유,10840,상승40,+0.37%,500,1376,12694,1.71,16641,12.36,6.98
735,KODEX 삼성그룹밸류,9275,상승5,+0.05%,0,1373,14800,0.01,165,N/A,N/A
736,동양철관,1154,0,0.00%,500,1372,118885,4.50,725304,34.97,4.62
737,노루홀딩스,10300,하락40,-0.39%,500,1369,13291,3.76,2815,5.57,6.56
738,덕양산업,4190,상승195,+4.88%,500,1364,32565,0.73,2326723,8.64,22.57
739,대양금속,4075,하락70,-1.69%,500,1360,33362,5.66,210075,21.01,N/A
740,한국수출포장,3390,하락40,-1.17%,500,1356,40000,3.80,15999,6.67,7.47
741,팜스코,3685,하락60,-1.60%,500,1353,36728,1.31,6841,-4.13,-11.68
742,한솔홀딩스,3215,0,0.00%,1000,1351,42009,12.23,12365,2.81,8.83
743,유화증권,2380,0,0.00%,1000,1350,56702,1.33,9057,41.75,0.85
744,삼원강재,3370,상승10,+0.30%,500,1348,40000,0.47,46407,10.37,5.79
745,신흥,14180,하락60,-0.42%,500,1347,9500,0.09,814,15.91,8.13
746,샘표식품,29450,하락150,-0.51%,500,1345,4568,4.55,1182,10.27,5.92
747,한국화장품제조,29650,하락400,-1.33%,500,1344,4532,1.72,19399,33.31,8.94
748,ARIRANG 국고채30년액티브,98375,하락115,-0.12%,0,1336,1358,0.00,5,N/A,N/A
749,광전자,2305,하락5,-0.22%,500,1336,57944,20.43,13686,9.64,6.33
750,웅진,1670,하락40,-2.34%,500,1335,79927,3.77,205991,16.21,11.86
751,디와이파워,12050,상승40,+0.33%,500,1331,11042,4.98,17378,7.45,7.66
752,TIGER 현대차그룹+펀더멘털,24180,상승35,+0.14%,0,1330,5500,0.01,1952,N/A,N/A
753,삼성 레버리지 천연가스 선물 ETN B,1560,하락170,-9.83%,0,1326,85000,0.00,1270996,N/A,N/A
754,KBSTAR 코스닥150,13420,하락210,-1.54%,0,1326,9880,0.02,753,N/A,N/A
755,KCTC,4410,상승20,+0.46%,500,1323,30000,2.05,18145,5.03,11.14
756,SOL 미국배당다우존스,9645,상승5,+0.05%,0,1321,13700,0.22,146196,N/A,N/A
757,한국내화,3205,하락15,-0.47%,500,1316,41067,0.44,23467,160.25,0.34
758,한국공항,41450,상승250,+0.61%,5000,1312,3166,4.41,977,22.72,1.84
759,경동도시가스,22150,하락50,-0.23%,2500,1306,5895,17.50,3585,5.40,6.28
760,TRUE 코스피 양매도 5% OTM ETN,8595,0,0.00%,0,1289,15000,0.00,0,N/A,N/A
761,극동유화,3675,하락20,-0.54%,500,1281,34869,2.44,17690,6.41,10.63
762,조흥,208500,상승1500,+0.72%,5000,1251,600,0.00,2,11.24,N/A
763,한국화장품,7780,하락110,-1.39%,500,1250,16068,1.16,11238,210.27,2.68
764,KTOP K200액티브,10380,하락30,-0.29%,0,1246,12000,0.00,253,N/A,N/A
765,조선선재,98900,하락400,-0.40%,500,1244,1258,1.90,1335,11.82,8.02
766,TIGER 종합채권(AA-이상)액티브,50350,하락70,-0.14%,0,1244,2470,0.00,35,N/A,N/A
767,미래에셋 코스피 양매도 5% OTM ETN,8285,0,0.00%,0,1243,15000,0.00,0,N/A,N/A
768,TRUE 블룸버그 인버스 2X 천연가스선물 ETN,62135,상승6050,+10.79%,0,1243,2000,0.00,4372,N/A,N/A
769,CJ우,54900,하락400,-0.72%,5000,1241,2260,7.63,227,9.69,N/A
770,두산퓨얼셀1우,9280,하락110,-1.17%,100,1240,13364,15.42,1823,197.45,N/A
771,한국특강,2045,0,0.00%,500,1239,60590,0.29,1083,2.98,23.44
772,금비,123900,상승3700,+3.08%,5000,1239,1000,1.62,4368,-9.03,-13.84
773,TIGER 중국소비테마,7325,하락50,-0.68%,0,1237,16890,0.00,8917,N/A,N/A
774,일성건설,2285,하락35,-1.51%,500,1234,54025,65.40,67068,17.05,6.30
775,대신증권2우B,12250,상승10,+0.08%,5000,1225,10000,2.21,718,9.17,N/A
776,미래산업,26700,하락100,-0.37%,500,1222,4575,2.46,108952,14.82,9.02
777,KTis,3480,하락35,-1.00%,500,1211,34802,5.94,52329,7.61,8.19
778,키움 INDXX 미국테크탑10 ETN,11980,0,0.00%,0,1198,10000,0.00,0,N/A,N/A
779,화승코퍼레이션,2380,상승70,+3.03%,500,1191,50051,2.10,339873,42.50,1.68
780,KBSTAR 코스닥150선물레버리지,12260,하락370,-2.93%,0,1189,9700,0.00,27877,N/A,N/A
781,ACE 24-12 회사채(AA-이상)액티브,105380,하락10,-0.01%,0,1179,1119,0.11,10,N/A,N/A
782,TIGER 코스닥150,13875,하락220,-1.56%,0,1174,8460,0.04,18300,N/A,N/A
783,한진중공업홀딩스,3970,0,0.00%,5000,1172,29530,1.43,2109,7.97,4.44
784,한양증권,9160,0,0.00%,5000,1166,12729,6.69,365,5.05,5.39
785,동방,2415,하락10,-0.41%,1000,1159,47972,2.51,22684,142.06,0.63
786,TIGER 200선물인버스2X,2770,상승15,+0.54%,0,1158,41800,2.55,612473,N/A,N/A
787,세이브존I&C,2815,하락15,-0.53%,1000,1155,41041,9.17,1247,12.57,1.99
788,CJ씨푸드,3210,상승45,+1.42%,500,1153,35931,1.87,169646,15.66,10.39
789,삼익악기,1273,하락4,-0.31%,500,1152,90531,2.47,24788,7.62,5.85
790,유니드비티플러스,10860,상승290,+2.74%,1000,1152,10611,6.15,68377,19.75,N/A
791,KODEX 미국달러선물,12015,상승15,+0.13%,0,1152,9590,0.33,13943,N/A,N/A
792,미창석유,66000,하락700,-1.05%,5000,1148,1740,31.94,712,4.91,7.51
793,토니모리,4770,하락90,-1.85%,200,1147,24055,1.67,41373,-1590.00,-0.09
794,KODEX 미국나스닥100선물(H),16065,상승35,+0.22%,0,1141,7100,2.95,223483,N/A,N/A
795,유니켐,1453,하락4,-0.27%,500,1137,78227,2.27,67944,45.41,2.04
796,인천도시가스,25950,0,0.00%,5000,1135,4375,2.58,102,9.32,6.23
797,KBSTAR 2차전지액티브,13680,하락140,-1.01%,0,1133,8280,0.00,92450,N/A,N/A
798,대유플러스,934,하락15,-1.58%,500,1130,120999,1.23,529095,-2.97,-46.38
799,유니온,7160,하락420,-5.54%,500,1118,15612,1.71,1020349,-11.05,-8.03
800,TIGER 미국채10년선물,11840,상승40,+0.34%,0,1113,9400,0.64,26752,N/A,N/A
801,제일연마,11100,하락80,-0.72%,500,1110,10000,4.78,670,50.68,2.37
802,가온전선,17440,하락70,-0.40%,5000,1109,6359,2.64,19820,8.79,3.66
803,삼화전기,16730,하락420,-2.45%,1000,1106,6614,24.73,5442,10.38,16.03
804,삼일제약,7350,하락220,-2.91%,500,1103,15010,3.42,41965,-3675.00,-0.03
805,무림페이퍼,2645,상승10,+0.38%,2500,1101,41609,3.68,60244,7.25,3.75
806,대원화성,2660,하락90,-3.27%,500,1097,41249,1.53,212320,-11.37,-14.44
807,TIGER 미디어컨텐츠,7245,하락100,-1.36%,0,1093,15090,0.10,32317,N/A,N/A
808,에이플러스에셋,4825,상승15,+0.31%,500,1091,22608,1.38,1453,2.17,41.26
809,KBSTAR 25-11 회사채(AA-이상)액티브,52815,하락30,-0.06%,0,1089,2062,0.07,565,N/A,N/A
810,KODEX 국채선물10년,64410,하락250,-0.39%,0,1086,1686,0.05,585,N/A,N/A
811,큐로,467,하락6,-1.27%,500,1080,231212,1.48,1220788,9.53,10.85
812,TRUE 레버리지 나스닥 100 ETN,21550,상승100,+0.47%,0,1078,5000,0.00,17308,N/A,N/A
813,플레이그램,889,하락18,-1.98%,100,1077,121195,2.64,476963,63.50,2.05
814,팜젠사이언스,6790,하락20,-0.29%,500,1075,15831,2.40,24379,1.51,41.94
815,이지스레지던스리츠,3790,상승5,+0.13%,1000,1075,28359,0.33,2376,1.71,N/A
816,웰바이오텍,1616,상승19,+1.19%,500,1074,66432,2.25,227953,-16.49,-17.91
817,유유제약,6200,하락50,-0.80%,1000,1068,17232,1.95,11557,-20.53,-4.97
818,깨끗한나라,2855,하락15,-0.52%,1000,1063,37241,0.99,40342,-37.08,-1.24
819,모나리자,2900,하락5,-0.17%,500,1061,36571,1.50,9285,45.31,3.06
820,지투알,6400,하락30,-0.47%,1000,1060,16567,32.74,3185,6.07,10.34
821,대구백화점,9780,상승110,+1.14%,5000,1058,10822,0.52,171,-5.69,-7.66
822,SG세계물산,522,하락3,-0.57%,500,1057,202425,1.87,47694,58.00,0.73
823,TRUE 레버리지 S&P500 선물 ETN(H),21040,상승10,+0.05%,0,1052,5000,0.00,368,N/A,N/A
824,크라운제과,8380,상승10,+0.12%,200,1049,12524,2.75,2240,4.12,15.34
825,한화솔루션우,40700,하락150,-0.37%,5000,1048,2575,5.83,15037,21.83,N/A
826,휴니드,7420,상승300,+4.21%,5000,1047,14116,27.40,169264,11.31,6.67
827,미래에셋 인버스 2X 코스닥150 선물 ETN,9485,상승285,+3.10%,0,1043,11000,0.00,1173001,N/A,N/A
828,현대코퍼레이션홀딩스,11430,0,0.00%,5000,1040,9101,3.31,4143,3.10,15.95
829,보락,1730,하락15,-0.86%,200,1036,59900,2.08,237463,33.92,6.54
830,히어로즈 단기채권ESG액티브,102160,0,0.00%,0,1032,1010,0.05,0,N/A,N/A
831,미래에셋글로벌리츠,3550,하락5,-0.14%,1000,1032,29060,0.62,6978,26.49,N/A
832,화성산업,10140,하락30,-0.29%,5000,1029,10150,7.95,6548,4.73,6.28
833,조광페인트,8010,하락100,-1.23%,500,1025,12800,2.74,23042,-14.15,-4.21
834,에이엔피,2520,하락25,-0.98%,500,1023,40581,0.00,72602,-2.32,N/A
835,두올,3090,하락20,-0.64%,2500,1022,33067,0.78,44857,14.05,3.78
836,엔에이치스팩19호,1990,0,0.00%,100,1021,51290,2.51,0,165.83,0.62
837,신영와코루,11290,하락110,-0.96%,500,1016,9000,26.34,78,4.32,6.86
838,신한 S&P500 VIX S/T 선물 ETN D,16855,하락110,-0.65%,0,1011,6000,0.00,10414,N/A,N/A
839,일신석재,1303,하락11,-0.84%,500,1009,77457,2.50,53618,43.43,4.37
840,QV KIS CD금리투자 ETN,50115,상승20,+0.04%,0,1002,2000,0.00,1,N/A,N/A
841,메리츠 KIS CD금리투자 ETN,50095,0,0.00%,0,1002,2000,0.00,0,N/A,N/A
842,기신정기,3420,하락65,-1.87%,500,999,29200,63.77,16040,14.37,3.44
843,대현,2255,하락15,-0.66%,500,999,44282,7.06,19171,3.93,10.97
844,KODEX 미국S&P500선물(H),19670,상승15,+0.08%,0,993,5050,0.88,32565,N/A,N/A
845,콤텍시스템,812,하락9,-1.10%,500,983,121051,4.16,172914,4.04,16.63
846,HANARO 200 TOP10,8430,하락30,-0.35%,0,982,11650,21.46,600,N/A,N/A
847,삼성공조,12050,하락110,-0.90%,500,979,8126,2.64,14240,2.39,17.22
848,지엠비코리아,5130,하락10,-0.19%,500,978,19072,55.45,8820,8.26,4.75
849,HL D&I,2580,하락15,-0.58%,5000,977,37859,1.78,3042,4.84,5.95
850,ACE 국고채10년,87755,하락265,-0.30%,0,977,1113,0.10,2589,N/A,N/A
851,국제약품,4605,하락10,-0.22%,1000,974,21160,2.52,13826,27.41,4.99
852,KC코트렐,2810,하락45,-1.58%,500,972,34600,0.91,983277,-2.76,-41.86
853,인팩,9620,하락370,-3.70%,500,962,10000,2.09,35566,7.29,12.28
854,고려산업,3815,하락110,-2.80%,1000,951,24939,4.18,320010,136.25,0.65
855,하이스틸,4710,하락130,-2.69%,500,951,20191,2.02,299378,8.21,8.03
856,TRUE 인버스 2X 코스닥 150 선물 ETN,9510,상승290,+3.15%,0,951,10000,0.00,405888,N/A,N/A
857,크라운해태홀딩스,6390,상승10,+0.16%,500,949,14847,2.14,1044,11.81,2.89
858,KODEX 국고채30년액티브,101475,하락675,-0.66%,0,940,926,0.18,12046,N/A,N/A
859,아모레G우,14570,하락20,-0.14%,500,939,6444,40.48,3145,22.48,N/A
860,DRB동일,4675,상승15,+0.32%,500,932,19930,0.42,1034,60.71,0.42
861,대원전선,1294,상승29,+2.29%,500,931,71965,2.85,1526569,71.89,1.51
862,한신공영,8030,하락70,-0.86%,5000,929,11571,8.06,6561,2.04,6.49
863,한국프랜지,3040,하락25,-0.82%,1000,926,30450,4.33,19750,2.78,12.16
864,대동전자,8800,0,0.00%,500,923,10490,41.12,6056,18.88,5.13
865,새론오토모티브,4795,상승5,+0.10%,500,921,19200,66.56,4085,-15.47,-2.54
866,SH에너지화학,826,하락12,-1.43%,500,918,111134,34.70,141050,48.59,1.99
867,남광토건,9310,하락20,-0.21%,5000,915,9833,0.82,1523,4.73,19.85
868,신한 레버리지 코스닥 150 선물 ETN,36435,하락640,-1.73%,0,911,2500,0.00,2,N/A,N/A
869,삼호개발,3625,0,0.00%,500,906,25000,4.53,3239,15.30,2.70
870,사조씨푸드,5260,하락30,-0.57%,1000,906,17219,2.46,6781,10.91,3.54
871,대호에이엘,1619,하락33,-2.00%,500,903,55800,3.08,117353,14.20,8.19
872,한솔홈데코,1121,하락13,-1.15%,1000,903,80565,3.51,84959,-18.68,-3.11
873,명문제약,2645,하락45,-1.67%,500,898,33953,1.39,18162,11.40,9.27
874,텔코웨어,9250,상승30,+0.33%,500,898,9703,1.01,574,23.18,3.50
875,이건산업,8180,하락60,-0.73%,5000,896,10953,6.62,14533,16.73,2.74
876,신한 레버리지 은 선물 ETN(H),8915,상승275,+3.18%,0,892,10000,0.00,27314,N/A,N/A
877,다스코,4575,하락35,-0.76%,500,887,19397,3.47,10634,53.82,1.16
878,TIGER KRX바이오K-뉴딜,6095,하락25,-0.41%,0,887,14550,0.50,69342,N/A,N/A
879,마니커,1394,0,0.00%,500,885,63511,2.11,42507,87.12,2.04
880,KBSTAR Fn5G테크,8260,하락55,-0.66%,0,884,10700,0.02,1250,N/A,N/A
881,마스턴프리미어리츠,3315,하락20,-0.60%,1000,881,26580,0.50,5998,7.89,N/A
882,KC그린홀딩스,3925,하락150,-3.68%,500,881,22435,1.38,58837,-29.07,-1.86
883,DSR,5490,하락10,-0.18%,500,878,16000,2.14,6337,3.66,12.80
884,이화산업,31300,상승5450,+21.08%,5000,876,2800,0.23,528704,1647.37,0.04
885,한일철강,3280,상승25,+0.77%,500,876,26697,1.05,26171,-58.57,-0.87
886,혜인,6880,하락60,-0.86%,500,875,12713,4.38,68943,-42.21,-1.89
887,진양산업,6720,하락30,-0.44%,500,874,13000,0.92,29268,14.24,12.43
888,동방아그로,6380,하락30,-0.47%,500,869,13618,31.09,3940,12.81,4.57
889,한솔로지스틱스,3150,하락65,-2.02%,500,866,27477,3.73,45514,3.57,26.80
890,케이비아이동국실업,862,상승64,+8.02%,500,864,100273,0.32,2561738,18.74,2.43
891,TIGER 미국다우존스30,22275,상승30,+0.13%,0,864,3880,0.14,4529,N/A,N/A
892,KODEX 은선물(H),4965,상승45,+0.91%,0,864,17400,0.01,86467,N/A,N/A
893,솔루스첨단소재1우,10210,하락220,-2.11%,100,863,8455,12.22,2162,-39.42,N/A
894,동일고무벨트,6210,하락20,-0.32%,500,863,13900,2.19,3182,11.07,3.74
895,신송홀딩스,7250,하락220,-2.95%,500,858,11829,1.91,53486,57.09,1.58
896,코스맥스비티아이,8920,하락30,-0.34%,500,857,9604,3.93,2046,-13.12,-2.14
897,SK우,151000,하락800,-0.53%,200,855,566,1.08,308,10.27,N/A
898,보해양조,614,하락1,-0.16%,500,854,139120,1.32,60164,-30.70,-3.39
899,TIGER 200선물레버리지,12560,하락55,-0.44%,0,854,6800,3.41,78881,N/A,N/A
900,TIGER 200 건설,3475,상승20,+0.58%,0,851,24480,5.04,394861,N/A,N/A
901,화천기공,38600,하락500,-1.28%,5000,849,2200,9.10,994,2.27,11.47
902,KH 필룩스,442,0,0.00%,500,843,190713,5.90,0,-0.72,-21.61
903,한창제지,1412,하락2,-0.14%,500,842,59667,0.74,12994,67.24,1.15
904,상상인증권,774,상승1,+0.13%,1000,839,108337,0.54,22532,22.11,1.76
905,KODEX 미국메타버스나스닥액티브,6995,0,0.00%,0,836,11950,0.94,4460,N/A,N/A
906,조비,16060,상승390,+2.49%,5000,834,5192,1.40,12008,9.65,15.06
907,ACE G2전기차&자율주행액티브,8775,하락25,-0.28%,0,825,9400,0.14,4456,N/A,N/A
908,서울식품,220,0,0.00%,100,824,374756,2.48,894712,110.00,2.49
909,DSR제강,5720,하락90,-1.55%,500,824,14400,4.55,25118,2.85,17.17
910,KODEX 바이오,8355,하락115,-1.36%,0,822,9840,0.23,105216,N/A,N/A
911,써니전자,2330,하락5,-0.21%,500,812,34845,7.02,52285,16.07,7.12
912,삼화왕관,37650,상승1000,+2.73%,5000,811,2154,4.05,1039,-4.71,-13.08
913,태양금속,2210,상승130,+6.25%,500,811,36700,3.91,311238,-138.12,-0.62
914,화승알앤에이,4250,하락90,-2.07%,500,807,18994,2.14,25137,6.36,15.85
915,태평양물산,1654,하락5,-0.30%,500,804,48636,3.18,54123,3.18,13.73
916,KBSTAR 단기국공채액티브,105055,상승5,0.00%,0,804,765,0.00,2272,N/A,N/A
917,한세엠케이,2650,상승30,+1.15%,500,798,30107,0.51,15671,-1.51,-88.24
918,천일고속,55800,상승500,+0.90%,5000,798,1429,0.04,86,-13.28,-19.21
919,남성,2190,하락20,-0.90%,500,793,36212,1.87,22343,24.89,2.67
920,NH프라임리츠,4245,하락40,-0.93%,500,792,18660,0.25,137,10.77,7.59
921,티웨이홀딩스,722,상승20,+2.85%,500,790,109472,1.03,759145,1.49,48.59
922,부산산업,74800,하락200,-0.27%,5000,790,1056,2.74,479,30.52,4.56
923,대유에이텍,677,하락2,-0.29%,500,785,115933,1.62,42067,-1.38,-55.60
924,엔케이,981,상승21,+2.19%,500,785,79983,2.88,196746,7.32,9.85
925,영흥,772,하락1,-0.13%,500,782,101310,0.60,13093,-257.33,-0.20
926,유성기업,2985,하락15,-0.50%,500,775,25948,11.08,4537,4.07,6.72
927,인터지스,2600,하락15,-0.57%,500,773,29748,3.03,15333,2.51,13.56
928,TIGER 소프트웨어,9115,하락45,-0.49%,0,773,8480,0.05,21152,N/A,N/A
929,ARIRANG 신흥국MSCI(합성 H),9110,하락30,-0.33%,0,773,8480,0.08,4205,N/A,N/A
930,문배철강,3765,하락50,-1.31%,500,772,20504,2.75,53336,2.94,16.87
931,호전실업,7900,하락100,-1.25%,500,770,9750,1.93,15033,2.83,21.24
932,SK케미칼우,36300,하락250,-0.68%,5000,768,2115,16.31,474,3.73,N/A
933,오리엔트바이오,645,하락6,-0.92%,500,765,118583,1.20,85612,4.27,51.92
934,비상교육,5870,상승10,+0.17%,500,763,12997,5.43,2417,-75.26,-0.51
935,시디즈,38100,하락200,-0.52%,500,762,2000,1.16,475,29.95,N/A
936,한익스프레스,6320,상승120,+1.94%,500,758,12000,2.60,45045,10.90,8.01
937,덕성,4835,하락20,-0.41%,500,758,15680,2.57,17658,32.89,2.99
938,신세계건설,18850,하락80,-0.42%,5000,754,4000,6.36,1753,-5.30,-5.58
939,세원정공,7500,하락40,-0.53%,500,750,10000,14.35,1576,-41.21,-2.52
940,우성,24250,하락250,-1.02%,5000,749,3090,0.99,1303,591.46,0.07
941,두산2우B,83800,상승1400,+1.70%,5000,748,893,0.12,57,-2.58,N/A
942,KODEX 미국반도체MV,11410,하락75,-0.65%,0,747,6550,0.10,5764,N/A,N/A
943,한국종합기술,6820,하락30,-0.44%,500,747,10950,2.69,17431,19.65,2.61
944,영보화학,3720,하락10,-0.27%,500,744,20000,52.19,4768,11.14,4.27
945,KBSTAR 미국단기투자등급회사채액티브,10205,상승25,+0.25%,0,740,7250,0.00,329,N/A,N/A
946,사조오양,7840,하락100,-1.26%,5000,739,9423,2.08,4782,8.66,4.24
947,KODEX 미국종합채권SRI액티브(H),97310,상승30,+0.03%,0,739,759,0.01,130,N/A,N/A
948,국동,1284,하락18,-1.38%,500,737,57372,3.85,173062,51.36,1.32
949,까뮤이앤씨,1629,하락6,-0.37%,500,736,45152,1.49,22278,-4.63,-17.86
950,티에이치엔,4070,하락115,-2.75%,500,733,18000,3.90,67320,-15.42,-5.48
951,평화산업,1334,상승19,+1.44%,500,732,54902,2.37,237911,12.02,18.05
952,우진플라임,3650,하락30,-0.82%,500,730,20000,6.85,18376,3.34,23.63
953,신한 인버스 2X WTI원유 선물 ETN(H),115,상승5,+4.55%,0,728,633000,0.00,1162012,N/A,N/A
954,부국철강,3635,하락5,-0.14%,500,727,20000,3.39,33603,10.24,5.76
955,서원,1530,상승25,+1.66%,500,726,47475,2.08,378962,255.00,0.25
956,세하,1260,하락12,-0.94%,1000,725,57563,0.42,8825,32.31,2.27
957,범양건영,2915,하락35,-1.19%,1000,724,24832,2.35,20726,-7.88,-11.33
958,KBSTAR 중국본토대형주CSI100,19010,0,0.00%,0,722,3800,0.00,42,N/A,N/A
959,한창,908,하락65,-6.68%,500,721,79396,3.21,1951464,-10.32,-25.34
960,TIGER 국고채30년스트립액티브,49030,하락265,-0.54%,0,720,1468,0.82,50709,N/A,N/A
961,메타랩스,2890,상승185,+6.84%,2500,720,24905,0.00,28330,-14.03,-6.27
962,미래에셋맵스리츠,3580,상승20,+0.56%,1000,720,20100,0.55,3010,111.88,0.69
963,신풍제약우,32700,하락450,-1.36%,500,719,2200,0.12,232,-51.01,N/A
964,KBSTAR 비메모리반도체액티브,8820,하락170,-1.89%,0,718,8140,0.00,40921,N/A,N/A
965,TIGER 차이나CSI300레버리지(합성),22275,하락85,-0.38%,0,717,3220,0.00,2489,N/A,N/A
966,인디에프,1014,하락15,-1.46%,500,717,70713,2.79,30346,-7.04,-25.55
967,TIGER 경기방어,9185,하락5,-0.05%,0,716,7800,0.00,1116,N/A,N/A
968,미래에셋 레버리지 코스닥150 선물 ETN,35725,하락1225,-3.32%,0,714,2000,0.00,70029,N/A,N/A
969,ACE 미국WideMoat가치주,19835,상승30,+0.15%,0,714,3600,0.20,4451,N/A,N/A
970,TIGER 200 중공업,3310,상승40,+1.22%,0,712,21520,0.35,173107,N/A,N/A
971,TIGER 미국S&P500TR(H),10200,하락5,-0.05%,0,709,6950,1.46,26589,N/A,N/A
972,씨아이테크,1526,상승37,+2.48%,500,708,46403,3.77,370074,-95.38,-1.30
973,대우부품,1483,하락2,-0.13%,500,707,47646,1.40,11772,-8.06,-28.85
974,쌍방울,268,하락14,-4.96%,500,704,262592,1.97,4969224,-0.73,-52.32
975,KODEX WTI원유선물(H),14345,하락300,-2.05%,0,699,4875,0.00,28166,N/A,N/A
976,TRUE S&P500 선물 ETN,13980,상승90,+0.65%,0,699,5000,0.00,2,N/A,N/A
977,KBSTAR 고배당,12010,상승15,+0.13%,0,697,5800,0.11,5430,N/A,N/A
978,KODEX 한국대만IT프리미어,17775,하락15,-0.08%,0,693,3900,0.00,81,N/A,N/A
979,신한 WTI원유 선물 ETN(H),6870,하락155,-2.21%,0,687,10000,0.00,573,N/A,N/A
980,상신브레이크,3155,하락60,-1.87%,500,677,21471,1.54,26943,95.61,0.39
981,TIGER 화장품,2410,하락30,-1.23%,0,675,27990,0.52,264139,N/A,N/A
982,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),67330,상승6535,+10.75%,0,673,1000,0.00,13,N/A,N/A
983,CS홀딩스,58300,하락400,-0.68%,5000,673,1154,3.63,171,4.74,5.38
984,TIGER 국채3년,106830,하락120,-0.11%,0,673,630,0.06,94,N/A,N/A
985,KODEX 차이나2차전지MSCI(합성),7995,상승5,+0.06%,0,672,8400,0.79,5080,N/A,N/A
986,에쓰씨엔지니어링,2145,하락105,-4.67%,500,670,31249,1.93,332334,12.26,15.08
987,코오롱인더우,24200,하락50,-0.21%,5000,670,2768,11.92,394,4.08,N/A
988,하나 블룸버그 -2X 천연가스 선물 ETN(H),66970,상승6235,+10.27%,0,670,1000,0.00,928,N/A,N/A
989,일진디스플,1298,하락29,-2.19%,500,669,51514,1.48,89282,-19.09,-16.46
990,삼일씨엔에스,5240,상승10,+0.19%,1000,667,12732,0.36,726,-10.78,-2.28
991,인바이오젠,467,0,0.00%,500,658,140884,0.31,0,-0.30,-84.75
992,ACE KRX금현물,12145,상승25,+0.21%,0,656,5400,0.12,16812,N/A,N/A
993,TRUE 나스닥 100 ETN,13105,상승70,+0.54%,0,655,5000,0.00,8,N/A,N/A
