1993	247
06	225
08	85
19	127
1	1412
10	545
18	89
02	111
462	1
3511	1
425	1
3707	1
9	383
2	1121
4	751
8	456
3	917
7	512
5	876
30	279
50	201
6	643
0	61
03	190
23	100
92	42
40	139
32	38
27	52
11	199
20	226
028	1
202	1
01	87
22	68
016	1
04	73
203	1
22701	1
304	2
43	25
12	241
14	178
46	26
80	85
35	75
82	28
09	107
70	87
1994	2
21	89
15	415
65	21
60	116
13	102
59	18
17	93
977	1
41	37
620	1
2191	1
39	25
98	17
510	1
200	1
712	1
28	52
700	1
36	30
90	103
95	41
58	27
42	31
29	45
07	268
62	16
37	36
78	24
120	2
766	1
4084	1
232	1
0027	1
9000	1
423	1
7944	1
75	43
81	20
83	13
25	432
33	38
587	1
5390	1
88	89
89	68
87	50
24	185
91	73
44	23
34	26
49	27
67	11
16	85
701	2
6976	1
300	1
31	41
350	1
8247	1
2303	1
702	1
45	45
93	26
319	1
1784	1
1985	1
48	21
05	315
51	28
38	39
94	32
759	3
3841	2
79	17
26	48
56	17
416	1
9700	1
9425	1
74	13
84	23
588	1
9886	1
008	2
0523	1
361	1
1117	1
96	34
99	27
782	3
3331	1
0130	1
424	1
1681	1
706	1
1100	1
569	1
7451	1
4712	1
220	2
63	19
85	50
71	25
734	2
1279	1
125	3
77	14
54	21
66	21
97	19
47	28
57	18
68	16
86	37
72	29
64	16
529	1
4273	1
52	18
1900	1
53	24
1990	347
329	1
55	27
301	2
73	25
76	18
112	1
005	1
002	1
777	1
768	1
61	12
875	1
034	1
69	9
747	2
400	3
1872	1
992	1
100	4
384	1
500	2
192	1
142	1
185	1
252	1
250	3
135	1
600	2
725	1
680	1
630	1
398	1
130	1
580	1
272	1
066	1
154	2
410	1
266	1
623	1
392	1
404	2
765	1
320	1
984	1
527	1
388	1
168	1
230	1
074	1
204	2
378	1
172	1
158	1
531	1
140	1
494	2
276	1
305	1
688	1
196	1
197	1
248	1
110	1
312	1
448	1
194	1
548	2
528	1
590	1
609	1
2000	3
845	1
655	1
940	1
844	1
582	1
767	1
214	2
805	1
783	1
708	1
024	1
943	1
996	1
933	1
530	1
068	1
813	1
966	1
865	1
763	1
941	1
972	1
015	1
837	1
969	1
864	1
067	1
309	1
042	1
449	1
872	1
293	1
848	1
001	1
102	2
115	1
794	1
8899	5
323	1
823	1
456	1
928	1
1920	2
1991	183
1967	2
1943	2
1947	1
1950	2
1951	1
163	1
1980	2
105	1
1928	1
1905	3
1817	1
1883	1
1961	1
101	4
1941	1
1995	1
1992	70
1945	1
1976	1
1970	2
1989	2
975	1
1982	4
1987	2
1988	2
545	1
0860	1
137	1
903	1
487	1
1895	2
1898	2
1926	1
1932	1
1931	1
743	1
7392	1
4480	1
789	1
3726	1
1910	1
720	1
5746	1
585	1
3151	1
762	1
6194	1
411	1
4343	1
0356	1
1225	1
914	1
9143	1
723	1
7771	1
0458	1
751	1
5551	1
784	1
0422	1
1919	1
1917	2
1960	3
287	1
1892	3
1893	2
1930	2
1986	1
1979	1
450	1
1670	1
1675	1
452	1
0002	1
267	1
7186	1
1925	1
1643	1
1884	1
1962	2
1938	1
1924	1
1894	13
1956	1
1912	2
210	1
724	1
6333	1
